date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2019-01-08,605.5,612.0,604.79,600.28,28838.13,-0.7,-0.12,600.252,584.814,584.662,38907.11,35127.64,30226.23,0.23
2019-01-07,608.0,612.0,605.49,602.22,34750.13,3.49,0.58,597.296,581.076,583.773,45875.16,35307.87,30126.4,0.28
2019-01-04,587.28,607.67,602.0,582.02,37683.47,12.0,2.03,588.798,577.977,583.088,44823.85,34526.96,30276.8,0.3
2019-01-03,599.97,601.66,590.0,585.8,30977.35,-8.98,-1.5,580.414,575.557,583.493,40860.4,33330.21,30472.04,0.25
2019-01-02,609.98,612.0,598.98,595.01,62286.49,8.97,1.52,575.572,575.651,584.105,39983.5,32154.69,30496.86,0.5
2018-12-28,563.3,596.4,590.01,560.0,63678.37,27.01,4.8,569.376,574.805,584.216,31348.17,28415.63,31553.27,0.51
2018-12-27,570.0,571.85,563.0,562.22,29493.57,2.92,0.52,564.856,575.1,582.965,24740.58,24503.24,30819.88,0.23
2018-12-26,563.81,568.4,560.08,558.0,17866.2,-5.71,-1.01,567.156,578.975,582.395,24230.07,25593.82,31598.67,0.14
2018-12-25,562.22,567.5,565.79,553.61,26592.86,-2.21,-0.39,570.7,581.867,582.241,25800.02,25799.36,32092.26,0.21
2018-12-24,563.5,570.91,568.0,558.0,19109.86,0.59,0.1,575.73,583.587,581.357,24325.88,24771.73,31774.31,0.15
2018-12-21,571.0,573.45,567.41,562.21,30640.43,-7.09,-1.23,580.234,584.51,580.562,25483.08,25324.81,31774.82,0.24
2018-12-20,576.22,581.5,574.5,568.89,26940.98,-3.3,-0.57,585.344,586.469,580.037,24265.89,24944.94,31249.11,0.21
2018-12-19,589.0,590.99,577.8,576.03,25715.96,-13.14,-2.22,590.794,588.199,579.537,26957.58,26026.64,30962.73,0.2
2018-12-18,585.88,591.54,590.94,585.0,19222.18,0.42,0.07,593.034,591.429,578.882,25798.69,27613.87,31032.3,0.15
2018-12-17,592.57,595.97,590.52,585.01,24895.85,-2.44,-0.41,591.444,592.558,577.415,25217.58,28839.04,31418.35,0.2
2018-12-14,598.01,599.8,592.96,592.0,24554.48,-8.79,-1.46,588.786,593.626,576.34,25166.54,34690.92,31982.52,0.2
2018-12-13,590.0,606.88,601.75,589.6,40399.41,12.75,2.17,587.594,590.83,574.692,25623.98,37136.52,32201.74,0.32
2018-12-12,588.79,589.2,589.0,582.8,19921.54,6.01,1.03,585.604,585.815,572.589,25095.71,37603.52,31723.44,0.16
2018-12-11,577.0,586.55,582.99,577.0,16316.6,5.76,1.0,589.824,582.615,570.894,29429.04,38385.16,32815.7,0.13
2018-12-10,576.0,587.5,577.23,574.18,24640.68,-9.77,-1.66,593.672,579.126,570.245,32460.5,38776.88,35321.32,0.2
2018-12-07,595.6,598.86,587.0,584.7,26841.67,-4.8,-0.81,598.466,576.614,568.983,44215.3,38224.83,37480.5,0.21
2018-12-06,600.0,605.98,591.8,590.36,37758.07,-18.3,-3.0,594.066,573.604,567.733,48649.06,37553.29,37355.26,0.3
2018-12-05,597.5,616.5,610.1,595.0,41588.19,7.87,1.31,586.026,570.874,566.66,50111.33,35898.81,37155.54,0.33
2018-12-04,602.99,604.26,602.23,595.0,31473.88,1.03,0.17,575.406,566.334,564.475,47341.28,34450.73,36981.52,0.25
2018-12-03,589.0,605.0,601.2,584.77,83414.68,36.2,6.41,564.58,562.271,562.664,45093.27,33997.66,37686.13,0.66
2018-11-30,557.0,568.89,565.0,553.0,49010.46,13.4,2.43,554.762,559.053,561.394,32234.37,29274.12,37291.25,0.39
2018-11-29,566.03,569.8,551.6,549.01,45069.45,-5.4,-0.97,553.142,558.553,563.139,26457.52,27266.95,39298.58,0.36
2018-11-28,550.85,559.19,557.0,545.5,27737.93,8.9,1.62,555.722,559.363,563.709,21686.3,25843.35,41950.44,0.22
2018-11-27,552.0,554.99,548.1,546.5,20233.82,-4.01,-0.73,557.262,559.173,563.304,21560.17,27246.24,45407.79,0.16
2018-11-26,558.0,560.2,552.11,552.0,19120.19,-4.79,-0.86,559.962,561.363,562.099,22902.06,31865.76,54615.93,0.15
2018-11-23,564.0,567.3,556.9,556.9,20126.21,-7.6,-1.35,563.344,561.352,561.948,26313.87,36736.16,56113.72,0.16
2018-11-22,565.15,567.33,564.5,558.0,21213.33,-0.2,-0.04,563.964,561.862,564.608,28076.39,37157.23,57873.78,0.17
2018-11-21,554.0,568.9,564.7,553.68,27107.3,3.1,0.55,563.004,562.446,567.333,30000.4,38412.27,60591.53,0.22
2018-11-20,565.0,568.0,561.6,560.0,26943.26,-7.42,-1.3,561.084,562.616,570.947,32932.31,39512.31,63041.81,0.21
2018-11-19,560.3,572.0,569.02,559.11,36179.25,9.02,1.61,562.764,563.056,574.954,40829.46,41374.6,67850.28,0.29
2018-11-16,561.0,566.0,560.0,558.03,28938.79,0.3,0.05,559.36,563.734,581.153,47158.46,45308.39,69696.75,0.23
2018-11-15,558.8,564.8,559.7,555.5,30833.4,4.6,0.83,559.76,567.724,586.653,46238.06,51330.2,72059.77,0.25
2018-11-14,569.96,569.96,555.1,552.55,41766.83,-14.9,-2.61,561.888,568.054,590.965,46824.13,58057.53,73125.91,0.33
2018-11-13,546.12,570.0,570.0,543.0,66429.05,18.0,3.26,564.148,567.434,596.496,46092.32,63569.33,73191.42,0.53
2018-11-12,553.0,554.2,552.0,536.8,67824.22,-10.0,-1.78,563.348,562.834,601.353,41919.74,77366.1,71189.65,0.54
2018-11-09,567.22,569.0,562.0,562.0,24336.82,-8.34,-1.46,568.108,562.543,607.098,43458.31,75491.27,69578.8,0.19
2018-11-08,574.0,577.0,570.34,568.0,33763.74,3.94,0.7,575.688,567.353,612.398,56422.34,78590.33,71085.59,0.27
2018-11-07,569.0,574.95,566.4,562.01,38107.78,0.4,0.07,574.22,572.219,616.131,69290.94,82770.79,73976.5,0.3
2018-11-06,574.0,574.16,566.0,558.01,45566.14,-9.8,-1.7,570.72,579.278,621.357,81046.34,86571.3,75226.02,0.36
2018-11-05,593.0,593.0,575.8,571.77,75517.08,-24.1,-4.02,562.32,586.852,627.807,112812.45,94325.96,74958.86,0.6
2018-11-02,585.0,600.0,599.9,572.24,89156.96,36.9,6.55,556.978,598.572,633.324,107524.23,94085.11,75320.25,0.71
2018-11-01,555.0,585.5,563.0,551.25,98106.72,14.1,2.57,559.018,605.582,639.829,100758.32,92789.35,72616.89,0.78
2018-10-31,527.0,555.0,548.9,522.0,96884.82,24.9,4.75,570.218,613.876,647.879,96250.65,88194.28,69736.98,0.77
2018-10-30,510.0,543.0,524.0,509.02,204396.67,-25.09,-4.57,587.836,625.558,656.681,92096.25,82813.51,68507.13,1.63
2018-10-29,549.09,549.09,549.09,549.09,49076.0,-61.01,-10.0,611.384,639.872,665.332,75839.46,65013.2,59819.29,0.39
2018-10-26,619.0,625.0,610.1,607.98,55327.38,-8.9,-1.44,640.166,651.653,672.878,80645.98,63666.33,59496.35,0.44
2018-10-25,620.0,622.5,619.0,608.58,75568.38,-17.99,-2.82,652.146,657.443,676.3,84820.38,63580.85,58105.96,0.6
2018-10-24,628.11,650.0,636.99,620.0,76112.82,-4.75,-0.74,657.534,660.042,679.421,80137.91,65182.21,56738.63,0.61
2018-10-23,689.0,689.0,641.74,635.0,123112.73,-51.26,-7.4,663.28,663.435,680.907,73530.76,63880.74,54825.93,0.98
2018-10-22,675.0,702.02,693.0,675.0,73108.57,23.0,3.43,668.36,668.761,681.11,54186.94,55591.75,50125.94,0.58
2018-10-19,638.0,675.0,670.0,635.08,76199.38,24.06,3.73,663.14,668.076,678.605,46686.68,56555.4,48515.52,0.61
2018-10-18,660.0,660.0,645.94,644.97,52156.07,-19.78,-2.97,662.74,674.076,676.704,42341.32,52444.44,47091.21,0.42
2018-10-17,675.0,677.3,665.72,649.9,43077.07,-1.42,-0.21,662.55,681.882,675.907,50226.5,51279.69,46541.27,0.34
2018-10-16,665.98,679.53,667.14,662.01,26393.6,0.24,0.04,663.59,687.803,674.921,54230.72,54200.76,45362.26,0.21
2018-10-15,669.49,671.95,666.9,660.03,35607.3,-1.1,-0.17,669.162,690.791,673.804,56996.57,54625.39,45102.69,0.28
2018-10-12,651.0,672.68,668.0,650.58,54472.56,23.01,3.57,673.012,694.102,673.008,66424.11,55326.38,44784.33,0.43
2018-10-11,635.01,668.94,644.99,635.01,91581.96,-25.93,-3.87,685.412,695.157,671.808,62547.56,52631.07,44179.23,0.73
